president,subgroup,date,approve,approve_hi,approve_lo,disapprove,disapprove_hi,disapprove_lo,timestamp,spread,datetime,date_display
Joe Biden,Voters,12-29-22,44.88,48.564827,41.188738,50.87,55.126041,46.614925,09:23:07 29 Dec 2022,-5.99,2022-12-29 09:23:07,Dec. 29
Joe Biden,Voters,12-28-22,44.82,48.488361,41.147134,50.95,55.231179,46.659799,09:41:09 28 Dec 2022,-6.13,2022-12-28 09:41:09,Dec. 28
Joe Biden,Voters,12-27-22,44.8,48.428832,41.168447,50.99,55.271482,46.706436,09:16:10 27 Dec 2022,-6.19,2022-12-27 09:16:10,Dec. 27
Joe Biden,Voters,12-24-22,44.69,48.254258,41.131777,51.05,55.331671,46.772613,10:39:09 24 Dec 2022,-6.36,2022-12-24 10:39:09,Dec. 24
Joe Biden,Voters,12-22-22,44.69,48.254258,41.131777,51.05,55.331671,46.772613,09:29:08 22 Dec 2022,-6.36,2022-12-22 09:29:08,Dec. 22
Joe Biden,Voters,12-21-22,44.7,48.277109,41.117246,51.13,55.398494,46.861412,13:07:07 21 Dec 2022,-6.43,2022-12-21 13:07:07,Dec. 21
Joe Biden,Voters,12-20-22,44.45,48.072651,40.833946,51.23,55.616597,46.838085,09:31:09 20 Dec 2022,-6.77,2022-12-20 09:31:09,Dec. 20
Joe Biden,Voters,12-19-22,44.2,47.776361,40.620051,51.62,55.989242,47.257116,08:39:06 19 Dec 2022,-7.42,2022-12-19 08:39:06,Dec. 19
Joe Biden,Voters,12-16-22,44.21,47.793849,40.627827,51.62,55.983229,47.250497,21:11:07 16 Dec 2022,-7.41,2022-12-16 21:11:07,Dec. 16
Joe Biden,Voters,12-15-22,44.99,48.623218,41.366486,50.73,55.153277,46.311844,15:44:07 15 Dec 2022,-5.74,2022-12-15 15:44:07,Dec. 15
Joe Biden,Voters,12-14-22,44.67,48.337252,41.007434,51.25,55.677091,46.820946,18:44:05 14 Dec 2022,-6.58,2022-12-14 18:44:05,Dec. 14
Joe Biden,Voters,12-13-22,43.9,48.471,39.337448,52.31,57.152558,47.465224,16:34:28 13 Dec 2022,-8.4,2022-12-13 16:34:28,Dec. 13
Joe Biden,Voters,12-12-22,43.93,48.656614,39.198961,52.37,57.202035,47.543713,08:48:15 12 Dec 2022,-8.45,2022-12-12 08:48:15,Dec. 12
Joe Biden,Voters,12-09-22,43.93,48.656614,39.198961,52.37,57.202035,47.543713,14:18:06  9 Dec 2022,-8.45,2022-12-09 14:18:06,Dec. 09
Joe Biden,Voters,12-08-22,43.38,47.786542,38.980172,52.78,57.632802,47.924662,09:47:05  8 Dec 2022,-9.4,2022-12-08 09:47:05,Dec. 08
Joe Biden,Voters,12-07-22,42.92,46.952877,38.888287,53.03,57.877271,48.181836,15:39:04  7 Dec 2022,-10.11,2022-12-07 15:39:04,Dec. 07
Joe Biden,Voters,12-06-22,42.86,47.169835,38.550833,52.97,56.926769,49.012019,17:18:05  6 Dec 2022,-10.11,2022-12-06 17:18:05,Dec. 06
Joe Biden,Voters,12-05-22,42.77,47.101625,38.429146,53.07,57.077877,49.068942,08:32:02  5 Dec 2022,-10.31,2022-12-05 08:32:02,Dec. 05
Joe Biden,Voters,12-02-22,42.77,47.101625,38.429146,53.07,57.077877,49.068942,16:52:03  2 Dec 2022,-10.31,2022-12-02 16:52:03,Dec. 02
Joe Biden,Voters,12-01-22,42.69,47.003674,38.376487,53.14,57.168952,49.102177,09:53:04  1 Dec 2022,-10.45,2022-12-01 09:53:04,Dec. 01
Joe Biden,Voters,11-30-22,42.38,46.626783,38.125235,53.29,57.312313,49.277198,13:49:02 30 Nov 2022,-10.92,2022-11-30 13:49:02,Nov. 30
Joe Biden,Voters,11-29-22,42.28,46.658046,37.892077,53.24,57.396992,49.081274,17:45:04 29 Nov 2022,-10.96,2022-11-29 17:45:04,Nov. 29
Joe Biden,Voters,11-28-22,42.32,46.715039,37.917356,53.17,57.3291,49.012058,13:33:20 28 Nov 2022,-10.85,2022-11-28 13:33:20,Nov. 28
Joe Biden,Voters,11-27-22,42.16,46.468457,37.854045,53.26,57.37592,49.137448,12:27:59 27 Nov 2022,-11.1,2022-11-27 12:27:59,Nov. 27
Joe Biden,Voters,11-23-22,42.16,46.468457,37.854045,53.26,57.37592,49.137448,10:29:02 23 Nov 2022,-11.1,2022-11-23 10:29:02,Nov. 23
Joe Biden,Voters,11-22-22,41.64,45.911344,37.372439,53.81,57.786655,49.828224,18:04:03 22 Nov 2022,-12.17,2022-11-22 18:04:03,Nov. 22
Joe Biden,Voters,11-21-22,43.14,47.096314,39.175101,52.93,57.210101,48.651821,11:35:47 21 Nov 2022,-9.8,2022-11-21 11:35:47,Nov. 21
Joe Biden,Voters,11-18-22,43.14,47.096314,39.175101,52.93,57.210101,48.651821,16:20:05 18 Nov 2022,-9.8,2022-11-18 16:20:05,Nov. 18
Joe Biden,Voters,11-17-22,43.38,47.591507,39.174159,52.83,56.847608,48.814833,14:45:04 17 Nov 2022,-9.45,2022-11-17 14:45:04,Nov. 17
Joe Biden,Voters,11-16-22,43.19,47.415711,38.955168,53.02,57.05577,48.982164,14:44:01 16 Nov 2022,-9.83,2022-11-16 14:44:01,Nov. 16
Joe Biden,Voters,11-15-22,43.12,47.511972,38.724639,53.08,57.292898,48.86387,09:48:03 15 Nov 2022,-9.96,2022-11-15 09:48:03,Nov. 15
Joe Biden,Voters,11-14-22,43.16,47.614517,38.695535,53.11,57.359971,48.854985,09:40:53 14 Nov 2022,-9.95,2022-11-14 09:40:53,Nov. 14
Joe Biden,Voters,11-11-22,43.16,47.614517,38.695535,53.11,57.359971,48.854985,09:48:01 11 Nov 2022,-9.95,2022-11-11 09:48:01,Nov. 11
Joe Biden,Voters,11-10-22,42.76,46.966211,38.557181,53.33,57.546832,49.120173,09:36:02 10 Nov 2022,-10.57,2022-11-10 09:36:02,Nov. 10
